threads,iterations,wallclock,io_time,fsync_time,io_bytes,iop
1,40000,826.851238,99.220840,75.423004,41472000000,14400000
2,40000,475.253456,241.755615,69.949982,41472000000,14400000
3,40000,362.822536,318.885864,66.814529,41472000000,14400000
4,40000,292.222629,381.882904,65.056931,41472000000,14400000
5,40000,247.859173,420.172241,62.588650,41472000000,14400000
6,40000,217.725770,443.846832,59.827942,41472000000,14400000
7,40000,189.734668,448.972229,56.005428,41472000000,14400000
8,40000,159.025420,387.980713,52.579361,41472000000,14400000
9,40000,265.749785,796.889099,59.521530,41472000000,14400000
10,40000,246.481481,845.400452,59.273685,41472000000,14400000
11,40000,240.281109,902.071655,59.178993,41472000000,14400000
12,40000,233.767937,1009.277710,58.798904,41472000000,14400000
